id,md_datetime_utc_start_hour,md_datetime_utc_start,md_network_series_tok,md_network_tok,score
2017-12-22_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2017122214,1513951202000,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,10.758234
2017-12-22_1300_US_HLN_Morning_Express_With_Robin_Meade_main,2017122213,1513947601000,HLN Morning Express With Robin Meade,HLN,10.758234
2017-12-22_1300_US_KNBC_Today_in_LA_main,2017122213,1513947601000,KNBC Today in LA,KNBC,10.758234
2017-12-22_1200_US_MSNBC_Morning_Joe_main,2017122212,1513944001000,MSNBC Morning Joe,MSNBC,10.758234
2017-12-22_1100_US_HLN_Morning_Express_With_Robin_Meade_main,2017122211,1513940401000,HLN Morning Express With Robin Meade,HLN,10.758234
2017-12-22_1059_US_CNN_New_Day_With_Chris_Cuomo_and_Alisyn_Camerota_main,2017122210,1513940341000,CNN New Day With Chris Cuomo and Alisyn Camerota,CNN,10.758234
2017-12-22_1005_US_KCBS_Inside_Edition_main,2017122210,1513937101000,KCBS Inside Edition,KCBS,10.758234
2017-12-22_1000_US_MSNBC_First_Look_main,2017122210,1513936801000,MSNBC First Look,MSNBC,10.758234
2017-12-22_0700_US_KNBC_NBC_4_News_at_11pm_main,2017122207,1513926003000,KNBC NBC 4 News at 11pm,KNBC,15.21444
2017-12-22_0700_US_KABC_Eyewitness_News_11PM_main,2017122207,1513926001000,KABC Eyewitness News 11PM,KABC,10.758234
2017-12-22_0700_US_KCBS_CBS_2_News_at_11PM_main,2017122207,1513926001000,KCBS CBS 2 News at 11PM,KCBS,10.758234
2017-12-22_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2017122206,1513922401000,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,10.758234
2017-12-22_0200_US_KABC_Eyewitness_News_6PM_main,2017122202,1513908002000,KABC Eyewitness News 6PM,KABC,24.056143
2017-12-22_0200_US_KCBS_CBS_2_News_at_6PM_main,2017122202,1513908002000,KCBS CBS 2 News at 6PM,KCBS,18.633808
