id,md_datetime_utc_start_hour,md_network_series_tok,md_network_tok,md_datetime_utc_start,score
2018-01-25_0600_US_KTLA_KTLA_5_News_at_10_main,2018012506,KTLA KTLA 5 News at 10,KTLA,1516860001000,15.646612
2018-01-25_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018012506,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516860001000,15.646612
2018-01-25_0200_US_KCBS_CBS_2_News_at_6PM_main,2018012502,KCBS CBS 2 News at 6PM,KCBS,1516845601000,22.127651
2018-01-24_1300_US_HLN_Morning_Express_With_Robin_Meade_main,2018012413,HLN Morning Express With Robin Meade,HLN,1516798803000,11.063826
2018-01-24_1000_US_CNN_Early_Start_With_Christine_Romans_and_Dave_Briggs_main,2018012410,CNN Early Start With Christine Romans and Dave Briggs,CNN,1516788001000,11.063826
2018-01-24_0700_US_KABC_Eyewitness_News_11PM_main,2018012407,KABC Eyewitness News 11PM,KABC,1516777202000,11.063826
2018-01-24_0700_US_KCBS_CBS_2_News_at_11PM_main,2018012407,KCBS CBS 2 News at 11PM,KCBS,1516777202000,11.063826
2018-01-24_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012407,KNBC NBC 4 News at 11pm,KNBC,1516777202000,11.063826
2018-01-24_0200_US_KNBC_NBC_4_News_at_6pm_main,2018012402,KNBC NBC 4 News at 6pm,KNBC,1516759202000,11.063826
2018-01-24_0200_US_KABC_Eyewitness_News_6PM_main,2018012402,KABC Eyewitness News 6PM,KABC,1516759201000,11.063826
2018-01-24_0100_US_KABC_Eyewitness_News_5PM_main,2018012401,KABC Eyewitness News 5PM,KABC,1516755601000,15.646612
2018-01-23_1400_US_KTTV-FOX_Fox_11_Morning_News_at_6am_main,2018012314,KTTV-FOX Fox 11 Morning News at 6am,KTTV-FOX,1516716002000,19.163107
2018-01-23_0700_US_KABC_Eyewitness_News_11PM_main,2018012307,KABC Eyewitness News 11PM,KABC,1516690801000,19.163107
2018-01-23_0700_US_KCBS_CBS_2_News_at_11PM_main,2018012307,KCBS CBS 2 News at 11PM,KCBS,1516690801000,19.163107
2018-01-23_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012307,KNBC NBC 4 News at 11pm,KNBC,1516690801000,11.063826
2018-01-23_0600_US_KTLA_KTLA_5_News_at_10_main,2018012306,KTLA KTLA 5 News at 10,KTLA,1516687201000,15.646612
2018-01-23_0600_US_KTTV-FOX_Fox_11_Ten_OClock_News_main,2018012306,KTTV-FOX Fox 11 Ten OClock News,KTTV-FOX,1516687201000,11.063826
2018-01-23_0200_US_KCBS_CBS_2_News_at_6PM_main,2018012302,KCBS CBS 2 News at 6PM,KCBS,1516672802000,15.646612
2018-01-23_0200_US_KNBC_NBC_4_News_at_6pm_main,2018012302,KNBC NBC 4 News at 6pm,KNBC,1516672802000,11.063826
2018-01-23_0200_US_KABC_Eyewitness_News_6PM_main,2018012302,KABC Eyewitness News 6PM,KABC,1516672801000,15.646612
2018-01-21_1400_US_KCBS_CBS_2_News_Sunday_main,2018012114,KCBS CBS 2 News Sunday,KCBS,1516543201000,19.163107
2018-01-21_0700_US_KABC_Eyewitness_News_11PM_main,2018012107,KABC Eyewitness News 11PM,KABC,1516518002000,24.739466
2018-01-21_0700_US_KNBC_NBC_4_News_at_11pm_main,2018012107,KNBC NBC 4 News at 11pm,KNBC,1516518002000,15.646612
2018-01-21_0600_US_KTLA_KTLA_5_News_at_10_main,2018012106,KTLA KTLA 5 News at 10,KTLA,1516514401000,11.063826
2018-01-21_0400_US_KCAL_KCAL_9_News_at_8PM_main,2018012104,KCAL KCAL 9 News at 8PM,KCAL,1516507202000,22.127651
2018-01-21_0200_US_KNBC_NBC_4_News_main,2018012102,KNBC NBC 4 News,KNBC,1516500001000,19.163107
2018-01-21_0100_US_KCBS_CBS_2_News_at_5PM_main,2018012101,KCBS CBS 2 News at 5PM,KCBS,1516496403000,11.063826
2018-01-21_0000_US_KABC_Eyewitness_News_4PM_main,2018012100,KABC Eyewitness News 4PM,KABC,1516492801000,22.127651
2018-01-20_2300_US_WEWS_News_5_at_6pm_main,2018012023,WEWS News 5 at 6pm,WEWS,1516489201000,11.063826
2018-01-20_1330_US_WKYC_Channel_3_News_Saturday_main,2018012013,WKYC Channel 3 News Saturday,WKYC,1516455001000,15.646612
2018-01-20_0200_US_KABC_Eyewitness_News_6PM_main,2018012002,KABC Eyewitness News 6PM,KABC,1516413601000,15.646612
2018-01-20_0100_US_KABC_Eyewitness_News_5PM_main,2018012001,KABC Eyewitness News 5PM,KABC,1516410002000,11.063826
