TOP|20110129140000|2011-01-29_1400_RU_WWW_Russia_Today
COL|Communication Studies Archive, UCLA
UID|a86ef1ae-c7b7-11e0-957f-001fc65c7848
DUR|0:32:00.80
VID|448x336
CMT|
LAN|ENG
LBT|2011-01-29 17:00 Europe/Moscow
20110129140955.000|20110129141000.000|TR0|With trust in the media on the
20110129141000.000|20110129141003.333|TR0|wane in the United States, some
20110129141003.333|20110129141006.667|TR0|are searching for more diverse
20110129141006.667|20110129141010.000|TR0|sources to get their news.
20110129141010.000|20110129141015.000|TR0|
20110129141015.000|20110129141020.000|TR0|Many are sceptical over whether
20110129141020.000|20110129141023.333|TR0|the big corporations owning the
20110129141023.333|20110129141026.667|TR0|major TV networks can present
20110129141026.667|20110129141030.000|TR0|them with unbiased output.
20110129141030.000|20110129141035.000|TR0|
20110129141035.000|20110129141040.000|TR0|RT's Anastasia Churkina delves
20110129141040.000|20110129141043.333|TR0|deeper into the means and
20110129141043.333|20110129141046.667|TR0|message of the main
20110129141046.667|20110129141050.000|TR0|broadcasters...
20110129141050.000|20110129141055.000|TR0|
20110129141055.000|20110129141100.000|TR0|[[PKG]]
20110129141100.000|20110129141103.333|TR0|
20110129141103.333|20110129141106.667|TR0|EVERYONE SEEMS TO KNOW THAT
20110129141106.667|20110129141110.000|TR0|
20110129141110.000|20110129141115.000|TR0|HE WHO PAYS THE PIPER GETS TO
20110129141115.000|20110129141120.000|TR0|CALL THE TUNE. IN THE U.S.,
20110129141120.000|20110129141123.333|TR0|PAYING THE PIPER AND RUNNING THE
20110129141123.333|20110129141126.667|TR0|SHOW ARE CORPORATIONS THE TUNE
20110129141126.667|20110129141130.000|TR0|THEY CALL - WHAT WE SEE, HEAR
20110129141130.000|20110129141133.333|TR0|AND READ
20110129141133.333|20110129141136.667|TR0|
20110129141136.667|20110129141140.000|TR0|LOC+TITLE: (:16-:27) (2:21-2:29)
20110129141140.000|20110129141145.000|TR0|(3:04-3:09)
20110129141145.000|20110129141150.000|TR0|
20110129141150.000|20110129141153.333|TR0|ITS A MONEY MAKER, ITS A CASH
20110129141153.333|20110129141156.667|TR0|COW. P EOPLE DONT THINK THAT
20110129141156.667|20110129141200.000|TR0|THERE IS ANY MONEY IN THE MEDIA.
20110129141200.000|20110129141205.000|TR0|ASIDE FROM HEALTH CARE THESE
20110129141205.000|20110129141210.000|TR0|DAYS. THE MEDIA IS THE INDUSTRY
20110129141210.000|20110129141213.333|TR0|OF THE 21ST CENTURY.
20110129141213.333|20110129141216.667|TR0|
20110129141216.667|20110129141220.000|TR0|HALF A CENTURY AGO, FIFTY
20110129141220.000|20110129141225.000|TR0|CORPORATIONS RAN THE MAJOR
20110129141225.000|20110129141230.000|TR0|NETWORKS AND NEWSPAPERS.
20110129141230.000|20110129141233.333|TR0|
20110129141233.333|20110129141236.667|TR0|SINCE THEN, A RAPID
20110129141236.667|20110129141240.000|TR0|CONCENTRATION OF MEDIA OWNERSHIP
20110129141240.000|20110129141245.000|TR0|HAS RESULTED IN A NEAR MEDIA
20110129141245.000|20110129141250.000|TR0|MONOPOLY SPEARHEADED BY A LUCKY
20110129141250.000|20110129141253.333|TR0|FEW.
20110129141253.333|20110129141256.667|TR0|
20110129141256.667|20110129141300.000|TR0|PUMPING MONEY FROM THE NEWS CASH
20110129141300.000|20110129141305.000|TR0|COW
20110129141305.000|20110129141310.000|TR0|
20110129141310.000|20110129141313.333|TR0|AND PIPING CORPORATE INTERESTS
20110129141313.333|20110129141316.667|TR0|TO THE VIEWERS AND READERS
20110129141316.667|20110129141320.000|TR0|
20110129141320.000|20110129141325.000|TR0|THE DANGER OF THIS KIND OF MEDIA
20110129141325.000|20110129141330.000|TR0|CONCENTRATION IS THAT IT ROBS
20110129141330.000|20110129141333.333|TR0|DEMOCRACY OF DIVERSITY, IT ROBS
20110129141333.333|20110129141336.667|TR0|VIEWERS OF BEING EXPOSED TO A
20110129141336.667|20110129141340.000|TR0|WIDER RANGE OF VIEWS.
20110129141340.000|20110129141345.000|TR0|
20110129141345.000|20110129141350.000|TR0|ANALYSTS SAY THE U.S. IS LIVING
20110129141350.000|20110129141353.333|TR0|IN THE GOLDEN AGE OF MEDIA BIAS.
20110129141353.333|20110129141356.667|TR0|
20110129141356.667|20110129141400.000|TR0|ITS NEVER BEEN EASIER <> TO
20110129141400.000|20110129141405.000|TR0|FIND OUT EXACTLY WHO IS BEHIND
20110129141405.000|20110129141410.000|TR0|WHAT, AND WHERE THE CONFLICT OF
20110129141410.000|20110129141413.333|TR0|INTERESTS ARE.
20110129141413.333|20110129141416.667|TR0|
20110129141416.667|20110129141420.000|TR0|TOPPING THE LIST OF OWNERS IS
20110129141420.000|20110129141423.333|TR0|RUPERT MURDOCH AND HIS EMPIRE -
20110129141423.333|20110129141426.667|TR0|THE NEWS CORPORATION
20110129141426.667|20110129141430.000|TR0|
20110129141430.000|20110129141435.000|TR0|LOC: :
20110129141435.000|20110129141440.000|TR0|
20110129141440.000|20110129141443.333|TR0|<UPSOT - COURTESY C-SPAN -
